"filename", "language", "C++", "Python", "comment", "blank", "total"
"f:\LisCompiler\Source\Compiler\Compiler.build.py", "Python", 0, 7, 5, 4, 16
"f:\LisCompiler\Source\Compiler\Private\Core\CompilePipeline.cpp", "C++", 16, 0, 0, 5, 21
"f:\LisCompiler\Source\Compiler\Private\Lexer\Lexer.cpp", "C++", 427, 0, 24, 58, 509
"f:\LisCompiler\Source\Compiler\Private\Logger\Logger.cpp", "C++", 74, 0, 0, 19, 93
"f:\LisCompiler\Source\Compiler\Private\Parser\ASTPrinter.cpp", "C++", 505, 0, 15, 24, 544
"f:\LisCompiler\Source\Compiler\Private\Parser\Parser.cpp", "C++", 566, 0, 12, 128, 706
"f:\LisCompiler\Source\Compiler\Public\Analyzer\Analyzer.hpp", "C++", 44, 0, 4, 9, 57
"f:\LisCompiler\Source\Compiler\Public\Analyzer\SymbolTable.hpp", "C++", 69, 0, 5, 17, 91
"f:\LisCompiler\Source\Compiler\Public\Analyzer\Types.hpp", "C++", 102, 0, 3, 23, 128
"f:\LisCompiler\Source\Compiler\Public\Core\CompilePipeline.hpp", "C++", 9, 0, 6, 4, 19
"f:\LisCompiler\Source\Compiler\Public\Core\Context.hpp", "C++", 10, 0, 13, 5, 28
"f:\LisCompiler\Source\Compiler\Public\Core\Pass.hpp", "C++", 13, 0, 7, 7, 27
"f:\LisCompiler\Source\Compiler\Public\Core\Pipeline.hpp", "C++", 20, 0, 7, 6, 33
"f:\LisCompiler\Source\Compiler\Public\Lexer\Lexer.hpp", "C++", 30, 0, 4, 7, 41
"f:\LisCompiler\Source\Compiler\Public\Lexer\Token.hpp", "C++", 133, 0, 48, 25, 206
"f:\LisCompiler\Source\Compiler\Public\Logger\Logger.hpp", "C++", 22, 0, 10, 4, 36
"f:\LisCompiler\Source\Compiler\Public\Parser\AST.hpp", "C++", 235, 0, 19, 38, 292
"f:\LisCompiler\Source\Compiler\Public\Parser\ASTPrinter.hpp", "C++", 16, 0, 10, 10, 36
"f:\LisCompiler\Source\Compiler\Public\Parser\Parser.hpp", "C++", 132, 0, 11, 32, 175
"Total", "-", 2423, 7, 203, 425, 3058
